0,2,0,0,0,0,2,0,0,2,0,2,0,0,0,0,0,1,0,2,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,8,3,1,17
0,0,2,0,0,0,2,0,0,0,0,0,0,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,3,2,17
2,0,0,0,1,2,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,4,0,2,0,0,0,0,0,0,0,0,8,3,21,4
3,2,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,2,0,0,1,8,3,23,35
0,2,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,2,0,2,0,0,0,0,2,0,0,0,0,8,3,31,7
0,0,0,0,0,2,4,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,2,3,0,8,3,26,16
0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,2,0,0,0,2,0,2,0,4,0,0,0,8,3,30,4
0,0,0,0,2,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,5,3,4,20
0,0,2,2,0,0,0,0,0,2,0,0,1,0,0,0,4,2,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,8,3,17,12
2,0,3,0,0,0,0,0,0,0,2,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,2,0,8,3,13,17
1,0,2,0,0,0,0,0,0,0,2,0,0,2,0,0,0,4,2,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,8,3,10,0
0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,2,0,0,0,0,2,0,0,0,3,0,0,0,0,2,0,0,6,3,33,14
0,2,0,0,0,0,0,2,0,2,3,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,1,0,8,3,24,34
0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,2,2,0,0,7,3,32,8
2,0,2,2,0,3,1,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,3,6
0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,4,0,0,2,2,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,7,3,4,31
0,0,0,0,0,2,0,0,2,4,0,0,0,3,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,2,0,0,0,0,0,2,8,3,5,24
1,0,0,2,0,3,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,7,3,5,0
0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,5,22
0,0,0,3,1,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,2,0,0,0,0,0,3,0,2,0,0,0,2,0,0,0,8,3,26,4
1,0,0,0,0,0,0,2,2,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,7,4,29,0
